t,x,y,z,motion
19.685,1.31419,1.241,0.709283,machining
19.695,1.31387,1.241,0.709283,machining
19.705,1.31355,1.241,0.709283,machining
19.715,1.31322,1.241,0.709283,machining
19.725,1.31289,1.241,0.709283,machining
19.735,1.31256,1.241,0.709283,machining
19.745,1.31222,1.241,0.709283,machining
19.755,1.31189,1.241,0.709283,machining
19.765,1.31155,1.241,0.709283,machining
19.775,1.31121,1.241,0.709283,machining
19.785,1.31086,1.241,0.709283,machining
19.795,1.31052,1.241,0.709283,machining
19.805,1.31017,1.241,0.709283,machining
19.815,1.30982,1.241,0.709283,machining
19.825,1.30947,1.241,0.709283,machining
19.835,1.30911,1.241,0.709283,machining
19.845,1.30876,1.241,0.709283,machining
19.855,1.3084,1.241,0.709283,machining
19.865,1.30804,1.241,0.709283,machining
19.875,1.30767,1.241,0.709283,machining
19.885,1.30731,1.241,0.709283,machining
19.895,1.30694,1.241,0.709283,machining
19.905,1.30657,1.241,0.709283,machining
19.915,1.3062,1.241,0.709283,machining
19.925,1.30582,1.241,0.709283,machining
19.935,1.30545,1.241,0.709283,machining
19.945,1.30507,1.241,0.709283,machining
19.955,1.30469,1.241,0.709283,machining
19.965,1.3043,1.241,0.709283,machining
19.975,1.30392,1.241,0.709283,machining
19.985,1.30353,1.241,0.709283,machining
19.995,1.30314,1.241,0.709283,machining
20.005,1.30274,1.241,0.709283,machining
20.015,1.30235,1.241,0.709283,machining
20.025,1.30195,1.241,0.709283,machining
20.035,1.30155,1.241,0.709283,machining
20.045,1.30115,1.241,0.709283,machining
20.055,1.30075,1.241,0.709283,machining
20.065,1.30034,1.241,0.709283,machining
20.075,1.29993,1.241,0.709283,machining
20.085,1.29952,1.241,0.709283,machining
20.095,1.29911,1.241,0.709283,machining
20.105,1.29869,1.241,0.709283,machining
20.115,1.29827,1.241,0.709283,machining
20.125,1.29785,1.241,0.709283,machining
20.135,1.29743,1.241,0.709283,machining
20.145,1.29701,1.241,0.709283,machining
20.155,1.29658,1.241,0.709283,machining
20.165,1.29615,1.241,0.709283,machining
20.175,1.29572,1.241,0.709283,machining
20.185,1.29529,1.241,0.709283,machining
20.195,1.29485,1.241,0.709283,machining
20.205,1.29441,1.241,0.709283,machining
20.215,1.29397,1.241,0.709283,machining
20.225,1.29353,1.241,0.709283,machining
20.235,1.29308,1.241,0.709283,machining
20.245,1.29264,1.241,0.709283,machining
20.255,1.29219,1.241,0.709283,machining
20.265,1.29173,1.241,0.709283,machining
20.275,1.29128,1.241,0.709283,machining
20.285,1.29082,1.241,0.709283,machining
20.295,1.29036,1.241,0.709283,machining
20.305,1.2899,1.241,0.709283,machining
20.315,1.28944,1.241,0.709283,machining
20.325,1.28897,1.241,0.709283,machining
20.335,1.28851,1.241,0.709283,machining
20.345,1.28804,1.241,0.709283,machining
20.355,1.28756,1.241,0.709283,machining
20.365,1.28709,1.241,0.709283,machining
20.375,1.28661,1.241,0.709283,machining
20.385,1.28613,1.241,0.709283,machining
20.395,1.28565,1.241,0.709283,machining
20.405,1.28517,1.241,0.709283,machining
20.415,1.28468,1.241,0.709283,machining
20.425,1.28419,1.241,0.709283,machining
20.435,1.2837,1.241,0.709283,machining
20.445,1.28321,1.241,0.709283,machining
20.455,1.28271,1.241,0.709283,machining
20.465,1.28222,1.241,0.709283,machining
20.475,1.28172,1.241,0.709283,machining
20.485,1.28121,1.241,0.709283,machining
20.495,1.28071,1.241,0.709284,machining
20.505,1.2802,1.241,0.709284,machining
20.515,1.27969,1.241,0.709284,machining
20.525,1.27918,1.241,0.709284,machining
20.535,1.27867,1.241,0.709284,machining
20.545,1.27815,1.241,0.709284,machining
20.555,1.27764,1.241,0.709284,machining
20.565,1.27712,1.241,0.709284,machining
20.575,1.27659,1.241,0.709284,machining
20.585,1.27607,1.241,0.709284,machining
20.595,1.27554,1.241,0.709284,machining
20.605,1.27501,1.241,0.709284,machining
20.615,1.27448,1.241,0.709284,machining
20.625,1.27395,1.241,0.709284,machining
20.635,1.27341,1.241,0.709284,machining
20.645,1.27287,1.241,0.709284,machining
20.655,1.27233,1.241,0.709284,machining
20.665,1.27179,1.241,0.709284,machining
20.675,1.27125,1.241,0.709284,machining
20.685,1.2707,1.241,0.709284,machining
20.695,1.27015,1.241,0.709284,machining
20.705,1.2696,1.241,0.709284,machining
20.715,1.26904,1.241,0.709284,machining
20.725,1.26849,1.241,0.709284,machining
20.735,1.26793,1.241,0.709284,machining
20.745,1.26737,1.241,0.709284,machining
20.755,1.26681,1.241,0.709284,machining
20.765,1.26624,1.241,0.709284,machining
20.775,1.26567,1.241,0.709284,machining
20.785,1.26511,1.241,0.709284,machining
20.795,1.26453,1.241,0.709284,machining
20.805,1.26396,1.241,0.709284,machining
20.815,1.26338,1.241,0.709284,machining
20.825,1.26281,1.241,0.709284,machining
20.835,1.26223,1.241,0.709284,machining
20.845,1.26164,1.241,0.709284,machining
20.855,1.26106,1.241,0.709284,machining
20.865,1.26047,1.241,0.709284,machining
20.875,1.25988,1.241,0.709284,machining
20.885,1.25929,1.241,0.709284,machining
20.895,1.2587,1.241,0.709284,machining
20.905,1.2581,1.241,0.709284,machining
20.915,1.2575,1.241,0.709284,machining
20.925,1.2569,1.241,0.709284,machining
20.935,1.2563,1.241,0.709284,machining
20.945,1.2557,1.241,0.709284,machining
20.955,1.25509,1.241,0.709284,machining
20.965,1.25448,1.241,0.709284,machining
20.975,1.25387,1.241,0.709284,machining
20.985,1.25326,1.241,0.709284,machining
20.995,1.25264,1.241,0.709284,machining
21.005,1.25202,1.241,0.709284,machining
21.015,1.2514,1.241,0.709284,machining
21.025,1.25078,1.241,0.709284,machining
21.035,1.25016,1.241,0.709284,machining
21.045,1.24953,1.241,0.709284,machining
21.055,1.2489,1.241,0.709284,machining
21.065,1.24827,1.241,0.709284,machining
21.075,1.24764,1.241,0.709284,machining
21.085,1.24701,1.241,0.709284,machining
21.095,1.24637,1.241,0.709284,machining
21.105,1.24573,1.241,0.709284,machining
21.115,1.24509,1.241,0.709284,machining
21.125,1.24445,1.241,0.709284,machining
21.135,1.2438,1.241,0.709284,machining
21.145,1.24315,1.241,0.709284,machining
21.155,1.2425,1.241,0.709284,machining
21.165,1.24185,1.241,0.709284,machining
21.175,1.2412,1.241,0.709284,machining
21.185,1.24054,1.241,0.709284,machining
21.195,1.23988,1.241,0.709284,machining
21.205,1.23922,1.241,0.709284,machining
21.215,1.23856,1.241,0.709284,machining
21.225,1.2379,1.241,0.709284,machining
21.235,1.23723,1.241,0.709284,machining
21.245,1.23656,1.241,0.709284,machining
21.255,1.23589,1.241,0.709284,machining
21.265,1.23522,1.241,0.709284,machining
21.275,1.23455,1.241,0.709284,machining
21.285,1.23387,1.241,0.709284,machining
21.295,1.23319,1.241,0.709284,machining
21.305,1.23251,1.241,0.709284,machining
21.315,1.23183,1.241,0.709284,machining
21.325,1.23114,1.241,0.709284,machining
21.335,1.23046,1.241,0.709284,machining
21.345,1.22977,1.241,0.709284,machining
21.355,1.22908,1.241,0.709284,machining
21.365,1.22838,1.241,0.709284,machining
21.375,1.22769,1.241,0.709284,machining
21.385,1.22699,1.241,0.709284,machining
21.395,1.22629,1.241,0.709284,machining
21.405,1.22559,1.241,0.709284,machining
21.415,1.22489,1.241,0.709284,machining
21.425,1.22419,1.241,0.709284,machining
21.435,1.22348,1.241,0.709284,machining
21.445,1.22277,1.241,0.709284,machining
21.455,1.22206,1.241,0.709284,machining
21.465,1.22135,1.241,0.709284,machining
21.475,1.22063,1.241,0.709284,machining
21.485,1.21992,1.241,0.709284,machining
21.495,1.2192,1.241,0.709284,machining
21.505,1.21848,1.241,0.709284,machining
21.515,1.21775,1.241,0.709284,machining
21.525,1.21703,1.241,0.709284,machining
21.535,1.2163,1.241,0.709284,machining
21.545,1.21557,1.241,0.709284,machining
21.555,1.21484,1.241,0.709284,machining
21.565,1.21411,1.241,0.709284,machining
21.575,1.21338,1.241,0.709284,machining
21.585,1.21264,1.241,0.709284,machining
21.595,1.2119,1.241,0.709284,machining
21.605,1.21116,1.241,0.709284,machining
21.615,1.21042,1.241,0.709284,machining
21.625,1.20968,1.241,0.709284,machining
21.635,1.20893,1.241,0.709284,machining
21.645,1.20818,1.241,0.709284,machining
21.655,1.20743,1.241,0.709284,machining
21.665,1.20668,1.241,0.709284,machining
21.675,1.20593,1.241,0.709284,machining
21.685,1.20517,1.241,0.709284,machining
21.695,1.20442,1.241,0.709284,machining
21.705,1.20366,1.241,0.709284,machining
21.715,1.2029,1.241,0.709284,machining
21.725,1.20214,1.241,0.709284,machining
21.735,1.20137,1.241,0.709284,machining
21.745,1.20061,1.241,0.709284,machining
21.755,1.19984,1.241,0.709284,machining
21.765,1.19907,1.241,0.709284,machining
21.775,1.1983,1.241,0.709284,machining
21.785,1.19752,1.241,0.709284,machining
21.795,1.19675,1.241,0.709284,machining
21.805,1.19597,1.241,0.709284,machining
21.815,1.19519,1.241,0.709284,machining
21.825,1.19441,1.241,0.709284,machining
21.835,1.19363,1.241,0.709284,machining
21.845,1.19284,1.241,0.709284,machining
21.855,1.19206,1.241,0.709284,machining
21.865,1.19127,1.241,0.709284,machining
21.875,1.19048,1.241,0.709284,machining
21.885,1.18969,1.241,0.709284,machining
21.895,1.1889,1.241,0.709284,machining
21.905,1.1881,1.241,0.709284,machining
21.915,1.18731,1.241,0.709284,machining
21.925,1.18651,1.241,0.709284,machining
21.935,1.18571,1.241,0.709284,machining
21.945,1.18491,1.241,0.709284,machining
21.955,1.1841,1.241,0.709284,machining
21.965,1.1833,1.241,0.709284,machining
21.975,1.18249,1.241,0.709284,machining
21.985,1.18168,1.241,0.709284,machining
21.995,1.18087,1.241,0.709284,machining
22.005,1.18006,1.241,0.709284,machining
22.015,1.17925,1.241,0.709284,machining
22.025,1.17843,1.241,0.709284,machining
22.035,1.17761,1.241,0.709284,machining
22.045,1.1768,1.241,0.709284,machining
22.055,1.17598,1.241,0.709284,machining
22.065,1.17515,1.241,0.709284,machining
22.075,1.17433,1.241,0.709284,machining
22.085,1.17351,1.241,0.709284,machining
22.095,1.17268,1.241,0.709284,machining
22.105,1.17185,1.241,0.709284,machining
22.115,1.17102,1.241,0.709284,machining
22.125,1.17019,1.241,0.709284,machining
22.135,1.16936,1.241,0.709284,machining
22.145,1.16852,1.241,0.709284,machining
22.155,1.16768,1.241,0.709284,machining
22.165,1.16685,1.241,0.709284,machining
22.175,1.16601,1.241,0.709284,machining
22.185,1.16517,1.241,0.709284,machining
22.195,1.16432,1.241,0.709285,machining
22.205,1.16348,1.241,0.709285,machining
22.215,1.16263,1.241,0.709285,machining
22.225,1.16179,1.241,0.709285,machining
22.235,1.16094,1.241,0.709285,machining
22.245,1.16009,1.241,0.709285,machining
22.255,1.15924,1.241,0.709285,machining
22.265,1.15838,1.241,0.709285,machining
22.275,1.15753,1.241,0.709285,machining
22.285,1.15667,1.241,0.709285,machining
22.295,1.15581,1.241,0.709285,machining
22.305,1.15495,1.241,0.709285,machining
22.315,1.15409,1.241,0.709285,machining
22.325,1.15323,1.241,0.709285,machining
22.335,1.15237,1.241,0.709285,machining
22.345,1.1515,1.241,0.709285,machining
22.355,1.15063,1.241,0.709285,machining
22.365,1.14977,1.241,0.709285,machining
22.375,1.1489,1.241,0.709285,machining
22.385,1.14803,1.241,0.709285,machining
22.395,1.14715,1.241,0.709285,machining
22.405,1.14628,1.241,0.709285,machining
22.415,1.1454,1.241,0.709285,machining
22.425,1.14453,1.241,0.709285,machining
22.435,1.14365,1.241,0.709285,machining
22.445,1.14277,1.241,0.709285,machining
22.455,1.14189,1.241,0.709285,machining
22.465,1.14101,1.241,0.709285,machining
22.475,1.14012,1.241,0.709285,machining
22.485,1.13924,1.241,0.709285,machining
22.495,1.13835,1.241,0.709285,machining
22.505,1.13746,1.241,0.709285,machining
22.515,1.13658,1.241,0.709285,machining
22.525,1.13569,1.241,0.709285,machining
22.535,1.13479,1.241,0.709285,machining
22.545,1.1339,1.241,0.709285,machining
22.555,1.13301,1.241,0.709285,machining
22.565,1.13211,1.241,0.709285,machining
22.575,1.13121,1.241,0.709285,machining
22.585,1.13032,1.241,0.709285,machining
22.595,1.12942,1.241,0.709285,machining
22.605,1.12852,1.241,0.709285,machining
22.615,1.12761,1.241,0.709285,machining
22.625,1.12671,1.241,0.709285,machining
22.635,1.12581,1.241,0.709285,machining
22.645,1.1249,1.241,0.709285,machining
22.655,1.12399,1.241,0.709285,machining
22.665,1.12308,1.241,0.709285,machining
22.675,1.12218,1.241,0.709285,machining
22.685,1.12126,1.241,0.709285,machining
22.695,1.12035,1.241,0.709285,machining
22.705,1.11944,1.241,0.709285,machining
22.715,1.11853,1.241,0.709285,machining
22.725,1.11761,1.241,0.709285,machining
22.735,1.11669,1.241,0.709285,machining
22.745,1.11578,1.241,0.709285,machining
22.755,1.11486,1.241,0.709285,machining
22.765,1.11394,1.241,0.709285,machining
22.775,1.11302,1.241,0.709285,machining
22.785,1.11209,1.241,0.709285,machining
22.795,1.11117,1.241,0.709285,machining
22.805,1.11025,1.241,0.709285,machining
22.815,1.10932,1.241,0.709285,machining
22.825,1.10839,1.241,0.709285,machining
22.835,1.10746,1.241,0.709285,machining
22.845,1.10654,1.241,0.709285,machining
22.855,1.10561,1.241,0.709285,machining
22.865,1.10467,1.241,0.709285,machining
22.875,1.10374,1.241,0.709285,machining
22.885,1.10281,1.241,0.709285,machining
22.895,1.10187,1.241,0.709285,machining
22.905,1.10094,1.241,0.709285,machining
22.915,1.1,1.241,0.709285,machining
22.925,1.09907,1.241,0.709285,machining
22.935,1.09813,1.241,0.709285,machining
22.945,1.09719,1.241,0.709285,machining
22.955,1.09625,1.241,0.709285,machining
22.965,1.09531,1.241,0.709285,machining
22.975,1.09436,1.241,0.709285,machining
22.985,1.09342,1.241,0.709285,machining
22.995,1.09248,1.241,0.709285,machining
23.005,1.09153,1.241,0.709285,machining
23.015,1.09058,1.241,0.709285,machining
23.025,1.08964,1.241,0.709285,machining
23.035,1.08869,1.241,0.709285,machining
23.045,1.08774,1.241,0.709285,machining
23.055,1.08679,1.241,0.709285,machining
23.065,1.08584,1.241,0.709285,machining
23.075,1.08489,1.241,0.709285,machining
23.085,1.08393,1.241,0.709285,machining
23.095,1.08298,1.241,0.709285,machining
23.105,1.08202,1.241,0.709285,machining
23.115,1.08107,1.241,0.709285,machining
23.125,1.08011,1.241,0.709285,machining
23.135,1.07916,1.241,0.709285,machining
23.145,1.0782,1.241,0.709285,machining
23.155,1.07724,1.241,0.709285,machining
23.165,1.07628,1.241,0.709285,machining
23.175,1.07532,1.241,0.709285,machining
23.185,1.07436,1.241,0.709285,machining
23.195,1.0734,1.241,0.709285,machining
23.205,1.07243,1.241,0.709285,machining
23.215,1.07147,1.241,0.709285,machining
23.225,1.0705,1.241,0.709285,machining
23.235,1.06954,1.241,0.709285,machining
23.245,1.06857,1.241,0.709285,machining
23.255,1.06761,1.241,0.709285,machining
23.265,1.06664,1.241,0.709285,machining
23.275,1.06567,1.241,0.709285,machining
23.285,1.0647,1.241,0.709285,machining
23.295,1.06373,1.241,0.709285,machining
23.305,1.06276,1.241,0.709285,machining
23.315,1.06179,1.241,0.709285,machining
23.325,1.06082,1.241,0.709285,machining
23.335,1.05985,1.241,0.709285,machining
23.345,1.05887,1.241,0.709285,machining
23.355,1.0579,1.241,0.709285,machining
23.365,1.05692,1.241,0.709285,machining
23.375,1.05595,1.241,0.709285,machining
23.385,1.05497,1.241,0.709285,machining
23.395,1.054,1.241,0.709285,machining
23.405,1.05302,1.241,0.709285,machining
23.415,1.05204,1.241,0.709285,machining
23.425,1.05106,1.241,0.709285,machining
23.435,1.05008,1.241,0.709285,machining
23.445,1.0491,1.241,0.709285,machining
23.455,1.04812,1.241,0.709285,machining
23.465,1.04714,1.241,0.709286,machining
23.475,1.04616,1.241,0.709286,machining
23.485,1.04518,1.241,0.709286,machining
23.495,1.0442,1.241,0.709286,machining
23.505,1.04321,1.241,0.709286,machining
23.515,1.04223,1.241,0.709286,machining
23.525,1.04125,1.241,0.709286,machining
23.535,1.04026,1.241,0.709286,machining
23.545,1.03928,1.241,0.709286,machining
23.555,1.03829,1.241,0.709286,machining
23.565,1.0373,1.241,0.709286,machining
23.575,1.03632,1.241,0.709286,machining
23.585,1.03533,1.241,0.709286,machining
23.595,1.03434,1.241,0.709286,machining
23.605,1.03336,1.241,0.709286,machining
23.615,1.03237,1.241,0.709286,machining
23.625,1.03138,1.241,0.709286,machining
23.635,1.03039,1.241,0.709286,machining
23.645,1.0294,1.241,0.709286,machining
23.655,1.02841,1.241,0.709286,machining
23.665,1.02742,1.241,0.709286,machining
23.675,1.02643,1.241,0.709286,machining
23.685,1.02544,1.241,0.709286,machining
23.695,1.02444,1.241,0.709286,machining
23.705,1.02345,1.241,0.709286,machining
23.715,1.02246,1.241,0.709286,machining
23.725,1.02147,1.241,0.709286,machining
23.735,1.02047,1.241,0.709286,machining
23.745,1.01948,1.241,0.709286,machining
23.755,1.01849,1.241,0.709286,machining
23.765,1.01749,1.241,0.709286,machining
23.775,1.0165,1.241,0.709286,machining
23.785,1.0155,1.241,0.709286,machining
23.795,1.01451,1.241,0.709286,machining
23.805,1.01351,1.241,0.709286,machining
23.815,1.01252,1.241,0.709286,machining
23.825,1.01152,1.241,0.709286,machining
23.835,1.01052,1.241,0.709286,machining
23.845,1.00953,1.241,0.709286,machining
23.855,1.00853,1.241,0.709286,machining
23.865,1.00753,1.241,0.709286,machining
23.875,1.00654,1.241,0.709286,machining
23.885,1.00554,1.241,0.709286,machining
23.895,1.00454,1.241,0.709286,machining
23.905,1.00354,1.241,0.709286,machining
23.915,1.00255,1.241,0.709286,machining
23.925,1.00155,1.241,0.709286,machining
23.935,1.00055,1.241,0.709286,machining
23.945,0.99955,1.241,0.709286,machining
23.955,0.998551,1.241,0.709286,machining
23.965,0.997553,1.241,0.709286,machining
23.975,0.996554,1.241,0.709286,machining
23.985,0.995555,1.241,0.709286,machining
23.995,0.994555,1.241,0.709286,machining
24.005,0.993556,1.241,0.709286,machining
24.015,0.992557,1.241,0.709286,machining
24.025,0.991557,1.241,0.709286,machining
24.035,0.990557,1.241,0.709286,machining
24.045,0.989558,1.241,0.709286,machining
24.055,0.988558,1.241,0.709286,machining
24.065,0.987558,1.241,0.709286,machining
24.075,0.986558,1.241,0.709286,machining
24.085,0.985558,1.241,0.709286,machining
24.095,0.984558,1.241,0.709286,machining
24.105,0.983558,1.241,0.709286,machining
24.115,0.982558,1.241,0.709286,machining
24.125,0.981558,1.241,0.709286,machining
24.135,0.980558,1.241,0.709286,machining
24.145,0.979558,1.241,0.709286,machining
24.155,0.978558,1.241,0.709286,machining
24.165,0.977558,1.241,0.709286,machining
24.175,0.976559,1.241,0.709286,machining
24.185,0.975559,1.241,0.709286,machining
24.195,0.974559,1.241,0.709286,machining
24.205,0.973559,1.241,0.709286,machining
24.215,0.97256,1.241,0.709286,machining
24.225,0.97156,1.241,0.709286,machining
24.235,0.97056,1.241,0.709286,machining
24.245,0.969561,1.241,0.709286,machining
24.255,0.968562,1.241,0.709286,machining
24.265,0.967563,1.241,0.709286,machining
24.275,0.966564,1.241,0.709286,machining
24.285,0.965565,1.241,0.709286,machining
24.295,0.964566,1.241,0.709286,machining
24.305,0.963567,1.241,0.709286,machining
24.315,0.962569,1.241,0.709286,machining
24.325,0.96157,1.241,0.709286,machining
24.335,0.960572,1.241,0.709286,machining
24.345,0.959574,1.241,0.709286,machining
24.355,0.958577,1.241,0.709286,machining
24.365,0.957579,1.241,0.709286,machining
24.375,0.956582,1.241,0.709286,machining
24.385,0.955585,1.241,0.709286,machining
24.395,0.954588,1.241,0.709286,machining
24.405,0.953591,1.241,0.709286,machining
24.415,0.952595,1.241,0.709286,machining
24.425,0.951599,1.241,0.709286,machining
24.435,0.950603,1.241,0.709286,machining
24.445,0.949607,1.241,0.709286,machining
24.455,0.948612,1.241,0.709286,machining
24.465,0.947617,1.241,0.709286,machining
24.475,0.946622,1.241,0.709286,machining
24.485,0.945628,1.241,0.709286,machining
24.495,0.944634,1.241,0.709286,machining
24.505,0.94364,1.241,0.709286,machining
24.515,0.942647,1.241,0.709286,machining
24.525,0.941653,1.241,0.709286,machining
24.535,0.940661,1.241,0.709286,machining
24.545,0.939668,1.241,0.709286,machining
24.555,0.938676,1.241,0.709286,machining
24.565,0.937685,1.241,0.709286,machining
24.575,0.936693,1.241,0.709286,machining
24.585,0.935703,1.241,0.709286,machining
24.595,0.934712,1.241,0.709286,machining
24.605,0.933722,1.241,0.709286,machining
24.615,0.932733,1.241,0.709286,machining
24.625,0.931743,1.241,0.709286,machining
24.635,0.930755,1.241,0.709287,machining
24.645,0.929766,1.241,0.709287,machining
24.655,0.928779,1.241,0.709287,machining
24.665,0.927791,1.241,0.709287,machining
24.675,0.926804,1.241,0.709287,machining
24.685,0.925818,1.24101,0.709287,machining
24.695,0.924832,1.24101,0.709287,machining
24.705,0.923846,1.24101,0.709287,machining
24.715,0.922862,1.24101,0.709287,machining
24.725,0.921877,1.24101,0.709287,machining
24.735,0.920893,1.24101,0.709287,machining
24.745,0.91991,1.24101,0.709287,machining
24.755,0.918927,1.24101,0.709287,machining
24.765,0.917945,1.24101,0.709287,machining
24.775,0.916963,1.24101,0.709287,machining
24.785,0.915982,1.24101,0.709287,machining
24.795,0.915002,1.24101,0.709287,machining
24.805,0.914022,1.24101,0.709287,machining
24.815,0.913042,1.24101,0.709287,machining
24.825,0.912063,1.24101,0.709287,machining
24.835,0.911085,1.24101,0.709287,machining
24.845,0.910108,1.24101,0.709287,machining
24.855,0.909131,1.24101,0.709287,machining
24.865,0.908155,1.24101,0.709287,machining
24.875,0.907179,1.24101,0.709287,machining
24.885,0.906204,1.24101,0.709287,machining
24.895,0.90523,1.24101,0.709287,machining
24.905,0.904256,1.24101,0.709287,machining
24.915,0.903283,1.24101,0.709287,machining
24.925,0.902311,1.24101,0.709287,machining
24.935,0.901339,1.24101,0.709287,machining
24.945,0.900368,1.24101,0.709287,machining
24.955,0.899398,1.24101,0.709287,machining
24.965,0.898429,1.24101,0.709287,machining
24.975,0.89746,1.24101,0.709287,machining
24.985,0.896492,1.24101,0.709287,machining
24.995,0.895525,1.24101,0.709287,machining
25.005,0.894558,1.24101,0.709287,machining
25.015,0.893592,1.24101,0.709287,machining
25.025,0.892627,1.24101,0.709287,machining
25.035,0.891663,1.24101,0.709287,machining
25.045,0.8907,1.24101,0.709287,machining
25.055,0.889737,1.24101,0.709287,machining
25.065,0.888775,1.24101,0.709287,machining
25.075,0.887814,1.24101,0.709287,machining
25.085,0.886854,1.24101,0.709287,machining
25.095,0.885895,1.24101,0.709287,machining
25.105,0.884936,1.24101,0.709287,machining
25.115,0.883979,1.24101,0.709287,machining
25.125,0.883022,1.24101,0.709287,machining
25.135,0.882066,1.24101,0.709287,machining
25.145,0.881111,1.24101,0.709287,machining
25.155,0.880157,1.24101,0.709287,machining
25.165,0.879203,1.24101,0.709287,machining
25.175,0.878251,1.24101,0.709287,machining
25.185,0.877299,1.24101,0.709287,machining
25.195,0.876349,1.24101,0.709287,machining
25.205,0.875399,1.24101,0.709287,machining
25.215,0.87445,1.24101,0.709287,machining
25.225,0.873502,1.24101,0.709287,machining
25.235,0.872556,1.24101,0.709287,machining
25.245,0.87161,1.24101,0.709287,machining
25.255,0.870665,1.24101,0.709287,machining
25.265,0.869721,1.24101,0.709287,machining
25.275,0.868778,1.24101,0.709287,machining
25.285,0.867836,1.24101,0.709287,machining
25.295,0.866894,1.24101,0.709287,machining
25.305,0.865954,1.24101,0.709287,machining
25.315,0.865015,1.24101,0.709287,machining
25.325,0.864077,1.24101,0.709287,machining
25.335,0.86314,1.24101,0.709287,machining
25.345,0.862204,1.24101,0.709287,machining
25.355,0.861269,1.24101,0.709287,machining
25.365,0.860335,1.24101,0.709287,machining
25.375,0.859403,1.24101,0.709287,machining
25.385,0.858471,1.24101,0.709287,machining
25.395,0.85754,1.24101,0.709287,machining
25.405,0.85661,1.24101,0.709287,machining
25.415,0.855682,1.24101,0.709287,machining
25.425,0.854754,1.24101,0.709287,machining
25.435,0.853828,1.24101,0.709287,machining
25.445,0.852903,1.24101,0.709287,machining
25.455,0.851979,1.24101,0.709287,machining
25.465,0.851056,1.24101,0.709287,machining
25.475,0.850134,1.24101,0.709287,machining
25.485,0.849213,1.24101,0.709287,machining
25.495,0.848293,1.24101,0.709287,machining
25.505,0.847375,1.24101,0.709287,machining
25.515,0.846458,1.24101,0.709287,machining
25.525,0.845541,1.24101,0.709287,machining
25.535,0.844627,1.24101,0.709287,machining
25.545,0.843713,1.24101,0.709287,machining
25.555,0.8428,1.24101,0.709287,machining
25.565,0.841889,1.24101,0.709287,machining
25.575,0.840979,1.24101,0.709287,machining
25.585,0.84007,1.24101,0.709287,machining
25.595,0.839162,1.24101,0.709287,machining
25.605,0.838256,1.24101,0.709287,machining
25.615,0.83735,1.24101,0.709287,machining
25.625,0.836446,1.24101,0.709287,machining
25.635,0.835544,1.24101,0.709287,machining
25.645,0.834642,1.24101,0.709287,machining
25.655,0.833742,1.24101,0.709287,machining
25.665,0.832843,1.24101,0.709287,machining
25.675,0.831946,1.24101,0.709287,machining
25.685,0.831049,1.24101,0.709287,machining
25.695,0.830154,1.24101,0.709287,machining
25.705,0.82926,1.24101,0.709287,machining
25.715,0.828368,1.24101,0.709287,machining
25.725,0.827477,1.24101,0.709287,machining
25.735,0.826587,1.24101,0.709287,machining
25.745,0.825699,1.24101,0.709287,machining
25.755,0.824812,1.24101,0.709287,machining
25.765,0.823926,1.24101,0.709287,machining
25.775,0.823041,1.24101,0.709287,machining
25.785,0.822158,1.24101,0.709287,machining
25.795,0.821277,1.24101,0.709287,machining
25.805,0.820396,1.24101,0.709287,machining
25.815,0.819518,1.24101,0.709287,machining
25.825,0.81864,1.24101,0.709287,machining
25.835,0.817764,1.24101,0.709287,machining
25.845,0.816889,1.24101,0.709287,machining
25.855,0.816016,1.24101,0.709287,machining
25.865,0.815144,1.24101,0.709287,machining
25.875,0.814274,1.24101,0.709288,machining
25.885,0.813405,1.24101,0.709288,machining
25.895,0.812537,1.24101,0.709288,machining
25.905,0.811671,1.24101,0.709288,machining
25.915,0.810806,1.24101,0.709288,machining
25.925,0.809943,1.24101,0.709288,machining
25.935,0.809082,1.24101,0.709288,machining
25.945,0.808221,1.24101,0.709288,machining
25.955,0.807363,1.24101,0.709288,machining
25.965,0.806505,1.24101,0.709288,machining
25.975,0.80565,1.24101,0.709288,machining
25.985,0.804795,1.24101,0.709288,machining
25.995,0.803943,1.24101,0.709288,machining
26.005,0.803091,1.24101,0.709288,machining
26.015,0.802242,1.24101,0.709288,machining
26.025,0.801393,1.24101,0.709288,machining
26.035,0.800547,1.24101,0.709288,machining
26.045,0.799702,1.24101,0.709288,machining
26.055,0.798858,1.24101,0.709288,machining
26.065,0.798016,1.24101,0.709288,machining
26.075,0.797176,1.24101,0.709288,machining
26.085,0.796337,1.24101,0.709288,machining
26.095,0.7955,1.24101,0.709288,machining
26.105,0.794664,1.24101,0.709288,machining
26.115,0.79383,1.24101,0.709288,machining
26.125,0.792997,1.24101,0.709288,machining
26.135,0.792166,1.24101,0.709288,machining
26.145,0.791337,1.24101,0.709288,machining
26.155,0.79051,1.24101,0.709288,machining
26.165,0.789684,1.24101,0.709288,machining
26.175,0.788859,1.24101,0.709288,machining
26.185,0.788036,1.24101,0.709288,machining
26.195,0.787215,1.24101,0.709288,machining
26.205,0.786396,1.24101,0.709288,machining
26.215,0.785578,1.24101,0.709288,machining
26.225,0.784762,1.24101,0.709288,machining
26.235,0.783947,1.24101,0.709288,machining
26.245,0.783134,1.24101,0.709288,machining
26.255,0.782323,1.24101,0.709288,machining
