t,q_j1,qd_j1,qdd_j1,q_j2,qd_j2,qdd_j2,q_j3,qd_j3,qdd_j3
26.065,0.987316,0.047239,-0.00578608,0.510606,-0.0461359,0.0125345,0.134725,0.0694087,-0.0205079
26.075,0.987788,0.0471806,-0.00583893,0.510146,-0.0460104,0.0125477,0.135417,0.0692036,-0.0205153
26.085,0.988259,0.0471217,-0.00589172,0.509687,-0.0458848,0.0125606,0.136107,0.0689984,-0.0205223
26.095,0.98873,0.0470623,-0.00594447,0.50923,-0.045759,0.0125734,0.136795,0.0687931,-0.0205291
26.105,0.9892,0.0470023,-0.00599715,0.508773,-0.0456332,0.012586,0.137481,0.0685877,-0.0205356
26.115,0.989669,0.0469418,-0.00604978,0.508318,-0.0455072,0.0125984,0.138165,0.0683823,-0.0205418
26.125,0.990138,0.0468808,-0.00610235,0.507864,-0.0453811,0.0126107,0.138847,0.0681768,-0.0205478
26.135,0.990606,0.0468192,-0.00615486,0.507412,-0.0452549,0.0126227,0.139527,0.0679713,-0.0205535
26.145,0.991074,0.0467571,-0.00620731,0.50696,-0.0451285,0.0126346,0.140204,0.0677657,-0.0205589
26.155,0.991541,0.0466945,-0.0062597,0.50651,-0.045002,0.0126463,0.14088,0.0675601,-0.0205641
26.165,0.992007,0.0466314,-0.00631202,0.506062,-0.0448755,0.0126578,0.141553,0.0673544,-0.020569
26.175,0.992473,0.0465678,-0.00636427,0.505614,-0.0447488,0.0126692,0.142225,0.0671486,-0.0205737
26.185,0.992938,0.0465036,-0.00641646,0.505168,-0.044622,0.0126803,0.142894,0.0669429,-0.020578
26.195,0.993402,0.0464389,-0.00646858,0.504723,-0.0444951,0.0126913,0.143562,0.066737,-0.0205822
26.205,0.993866,0.0463737,-0.00652062,0.504279,-0.044368,0.0127021,0.144227,0.0665312,-0.020586
26.215,0.994329,0.046308,-0.00657259,0.503837,-0.0442409,0.0127127,0.14489,0.0663253,-0.0205896
26.225,0.994791,0.0462418,-0.00662449,0.503396,-0.0441137,0.0127232,0.145551,0.0661194,-0.020593
26.235,0.995253,0.046175,-0.00667631,0.502956,-0.0439863,0.0127334,0.146211,0.0659134,-0.0205961
26.245,0.995714,0.0461077,-0.00672806,0.502517,-0.0438589,0.0127435,0.146868,0.0657074,-0.0205989
26.255,0.996175,0.0460399,-0.00677972,0.50208,-0.0437314,0.0127534,0.147523,0.0655014,-0.0206015
26.265,0.996634,0.0459716,-0.00683131,0.501644,-0.0436037,0.0127632,0.148176,0.0652953,-0.0206038
26.275,0.997093,0.0459028,-0.00688281,0.501209,-0.043476,0.0127727,0.148826,0.0650893,-0.0206058
26.285,0.997552,0.0458334,-0.00693423,0.500776,-0.0433482,0.0127821,0.149475,0.0648832,-0.0206076
26.295,0.998009,0.0457636,-0.00698556,0.500344,-0.0432203,0.0127913,0.150122,0.0646771,-0.0206092
26.305,0.998466,0.0456932,-0.00703681,0.499913,-0.0430923,0.0128003,0.150767,0.064471,-0.0206105
26.315,0.998922,0.0456223,-0.00708797,0.499483,-0.0429642,0.0128092,0.151409,0.0642649,-0.0206115
26.325,0.999378,0.0455509,-0.00713904,0.499055,-0.042836,0.0128178,0.15205,0.0640588,-0.0206123
26.335,0.999833,0.045479,-0.00719002,0.498628,-0.0427077,0.0128263,0.152689,0.0638526,-0.0206129
26.345,1.00029,0.0454066,-0.0072409,0.498202,-0.0425794,0.0128346,0.153325,0.0636465,-0.0206132
26.355,1.00074,0.0453337,-0.00729169,0.497777,-0.042451,0.0128428,0.153959,0.0634404,-0.0206132
26.365,1.00119,0.0452603,-0.00734238,0.497354,-0.0423225,0.0128507,0.154592,0.0632343,-0.020613
26.375,1.00164,0.0451864,-0.00739298,0.496932,-0.0421939,0.0128585,0.155222,0.0630281,-0.0206126
26.385,1.0021,0.0451119,-0.00744347,0.496511,-0.0420652,0.0128662,0.15585,0.062822,-0.0206119
26.395,1.00255,0.045037,-0.00749386,0.496092,-0.0419365,0.0128736,0.156476,0.0626159,-0.020611
26.405,1.003,0.0449615,-0.00754415,0.495674,-0.0418077,0.0128809,0.157101,0.0624098,-0.0206098
26.415,1.00344,0.0448856,-0.00759434,0.495257,-0.0416788,0.012888,0.157723,0.0622037,-0.0206084
26.425,1.00389,0.0448092,-0.00764442,0.494842,-0.0415498,0.0128949,0.158343,0.0619977,-0.0206067
26.435,1.00434,0.0447322,-0.00769439,0.494428,-0.0414208,0.0129016,0.15896,0.0617916,-0.0206048
26.445,1.00479,0.0446548,-0.00774426,0.494015,-0.0412917,0.0129082,0.159576,0.0615856,-0.0206027
26.455,1.00523,0.0445768,-0.00779401,0.493603,-0.0411626,0.0129146,0.16019,0.0613796,-0.0206003
26.465,1.00568,0.0444984,-0.00784365,0.493193,-0.0410334,0.0129208,0.160802,0.0611736,-0.0205977
26.475,1.00612,0.0444195,-0.00789318,0.492784,-0.0409041,0.0129269,0.161412,0.0609676,-0.0205948
26.485,1.00656,0.04434,-0.00794259,0.492376,-0.0407748,0.0129328,0.162019,0.0607617,-0.0205917
26.495,1.00701,0.0442601,-0.00799188,0.491969,-0.0406454,0.0129385,0.162625,0.0605558,-0.0205884
26.505,1.00745,0.0441797,-0.00804106,0.491564,-0.040516,0.012944,0.163228,0.06035,-0.0205848
26.515,1.00789,0.0440988,-0.00809011,0.49116,-0.0403865,0.0129494,0.16383,0.0601442,-0.020581
26.525,1.00833,0.0440174,-0.00813905,0.490758,-0.0402569,0.0129546,0.164429,0.0599384,-0.0205769
26.535,1.00877,0.0439355,-0.00818786,0.490357,-0.0401273,0.0129596,0.165026,0.0597327,-0.0205727
26.545,1.00921,0.0438532,-0.00823654,0.489957,-0.0399977,0.0129645,0.165622,0.059527,-0.0205682
26.555,1.00965,0.0437703,-0.0082851,0.489558,-0.039868,0.0129691,0.166215,0.0593214,-0.0205634
26.565,1.01008,0.043687,-0.00833352,0.48916,-0.0397383,0.0129737,0.166806,0.0591158,-0.0205585
26.575,1.01052,0.0436032,-0.00838182,0.488764,-0.0396085,0.012978,0.167395,0.0589103,-0.0205533
26.585,1.01095,0.0435189,-0.00842999,0.48837,-0.0394787,0.0129822,0.167982,0.0587048,-0.0205478
26.595,1.01139,0.0434341,-0.00847802,0.487976,-0.0393488,0.0129862,0.168567,0.0584994,-0.0205422
26.605,1.01182,0.0433488,-0.00852592,0.487584,-0.0392189,0.01299,0.16915,0.058294,-0.0205363
26.615,1.01225,0.0432631,-0.00857368,0.487193,-0.039089,0.0129937,0.169731,0.0580887,-0.0205302
26.625,1.01269,0.0431769,-0.0086213,0.486803,-0.038959,0.0129972,0.17031,0.0578835,-0.0205239
26.635,1.01312,0.0430902,-0.00866879,0.486415,-0.038829,0.0130005,0.170887,0.0576783,-0.0205173
26.645,1.01355,0.043003,-0.00871613,0.486028,-0.0386989,0.0130037,0.171461,0.0574732,-0.0205105
26.655,1.01398,0.0429154,-0.00876333,0.485642,-0.0385689,0.0130067,0.172034,0.0572681,-0.0205035
26.665,1.0144,0.0428273,-0.00881039,0.485258,-0.0384388,0.0130096,0.172605,0.0570632,-0.0204963
26.675,1.01483,0.0427387,-0.00885729,0.484875,-0.0383087,0.0130122,0.173173,0.0568583,-0.0204889
26.685,1.01526,0.0426497,-0.00890405,0.484493,-0.0381785,0.0130147,0.17374,0.0566535,-0.0204812
26.695,1.01568,0.0425602,-0.00895067,0.484113,-0.0380483,0.0130171,0.174304,0.0564487,-0.0204733
26.705,1.01611,0.0424702,-0.00899713,0.483734,-0.0379182,0.0130192,0.174867,0.0562441,-0.0204652
26.715,1.01653,0.0423798,-0.00904343,0.483356,-0.0377879,0.0130212,0.175427,0.0560395,-0.0204569
26.725,1.01696,0.0422889,-0.00908959,0.482979,-0.0376577,0.0130231,0.175985,0.055835,-0.0204484
26.735,1.01738,0.0421975,-0.00913558,0.482604,-0.0375275,0.0130248,0.176542,0.0556306,-0.0204396
26.745,1.0178,0.0421057,-0.00918142,0.48223,-0.0373972,0.0130263,0.177096,0.0554263,-0.0204306
26.755,1.01822,0.0420134,-0.0092271,0.481857,-0.0372669,0.0130276,0.177648,0.0552221,-0.0204215
26.765,1.01864,0.0419207,-0.00927262,0.481486,-0.0371366,0.0130288,0.178198,0.055018,-0.0204121
26.775,1.01906,0.0418275,-0.00931798,0.481116,-0.0370063,0.0130298,0.178747,0.054814,-0.0204025
26.785,1.01947,0.0417339,-0.00936317,0.480747,-0.036876,0.0130307,0.179293,0.0546101,-0.0203926
26.795,1.01989,0.0416398,-0.0094082,0.48038,-0.0367457,0.0130314,0.179837,0.0544062,-0.0203826
26.805,1.02031,0.0415453,-0.00945306,0.480013,-0.0366154,0.0130319,0.180379,0.0542025,-0.0203724
26.815,1.02072,0.0414503,-0.00949775,0.479649,-0.0364851,0.0130323,0.180919,0.0539989,-0.0203619
26.825,1.02113,0.0413549,-0.00954227,0.479285,-0.0363547,0.0130325,0.181457,0.0537954,-0.0203513
26.835,1.02155,0.041259,-0.00958662,0.478923,-0.0362244,0.0130326,0.181993,0.053592,-0.0203404
26.845,1.02196,0.0411627,-0.0096308,0.478562,-0.0360941,0.0130325,0.182526,0.0533887,-0.0203293
26.855,1.02237,0.041066,-0.0096748,0.478202,-0.0359638,0.0130322,0.183058,0.0531855,-0.0203181
26.865,1.02278,0.0409688,-0.00971862,0.477844,-0.0358335,0.0130318,0.183588,0.0529824,-0.0203066
26.875,1.02319,0.0408711,-0.00976227,0.477487,-0.0357031,0.0130312,0.184116,0.0527795,-0.0202949
26.885,1.02359,0.0407731,-0.00980573,0.477131,-0.0355728,0.0130305,0.184642,0.0525766,-0.020283
26.895,1.024,0.0406746,-0.00984902,0.476777,-0.0354425,0.0130296,0.185165,0.0523739,-0.0202709
26.905,1.02441,0.0405757,-0.00989212,0.476424,-0.0353123,0.0130285,0.185687,0.0521714,-0.0202586
26.915,1.02481,0.0404763,-0.00993503,0.476072,-0.035182,0.0130273,0.186207,0.0519689,-0.0202461
26.925,1.02522,0.0403766,-0.00997776,0.475721,-0.0350517,0.0130259,0.186725,0.0517666,-0.0202334
26.935,1.02562,0.0402763,-0.0100203,0.475372,-0.0349215,0.0130244,0.18724,0.0515644,-0.0202205
26.945,1.02602,0.0401757,-0.0100627,0.475024,-0.0347913,0.0130227,0.187754,0.0513623,-0.0202074
26.955,1.02642,0.0400747,-0.0101048,0.474677,-0.034661,0.0130208,0.188265,0.0511603,-0.0201941
26.965,1.02682,0.0399732,-0.0101468,0.474332,-0.0345309,0.0130188,0.188775,0.0509585,-0.0201807
26.975,1.02722,0.0398713,-0.0101886,0.473988,-0.0344007,0.0130166,0.189283,0.0507569,-0.020167
26.985,1.02762,0.039769,-0.0102301,0.473645,-0.0342706,0.0130143,0.189788,0.0505553,-0.0201531
26.995,1.02801,0.0396663,-0.0102715,0.473304,-0.0341404,0.0130118,0.190292,0.0503539,-0.020139
27.005,1.02841,0.0395632,-0.0103127,0.472964,-0.0340103,0.0130092,0.190793,0.0501527,-0.0201247
27.015,1.0288,0.0394596,-0.0103537,0.472625,-0.0338803,0.0130064,0.191293,0.0499516,-0.0201103
27.025,1.0292,0.0393557,-0.0103945,0.472288,-0.0337502,0.0130035,0.19179,0.0497506,-0.0200956
27.035,1.02959,0.0392513,-0.010435,0.471951,-0.0336202,0.0130004,0.192286,0.0495498,-0.0200808
27.045,1.02998,0.0391466,-0.0104754,0.471617,-0.0334903,0.0129972,0.192779,0.0493492,-0.0200658
27.055,1.03037,0.0390414,-0.0105156,0.471283,-0.0333603,0.0129938,0.193271,0.0491487,-0.0200505
27.065,1.03076,0.0389359,-0.0105555,0.470951,-0.0332304,0.0129902,0.19376,0.0489483,-0.0200351
27.075,1.03115,0.0388299,-0.0105953,0.47062,-0.0331006,0.0129865,0.194248,0.0487481,-0.0200195
27.085,1.03154,0.0387236,-0.0106348,0.47029,-0.0329707,0.0129826,0.194733,0.0485481,-0.0200037
27.095,1.03192,0.0386168,-0.0106741,0.469961,-0.0328409,0.0129786,0.195217,0.0483482,-0.0199877
27.105,1.03231,0.0385097,-0.0107132,0.469634,-0.0327112,0.0129745,0.195698,0.0481485,-0.0199716
27.115,1.03269,0.0384022,-0.0107521,0.469309,-0.0325815,0.0129701,0.196178,0.0479489,-0.0199552
27.125,1.03307,0.0382943,-0.0107908,0.468984,-0.0324518,0.0129657,0.196655,0.0477495,-0.0199387
27.135,1.03346,0.038186,-0.0108292,0.468661,-0.0323222,0.0129611,0.197131,0.0475503,-0.019922
27.145,1.03384,0.0380773,-0.0108674,0.468339,-0.0321927,0.0129563,0.197604,0.0473513,-0.0199051
27.155,1.03422,0.0379683,-0.0109054,0.468018,-0.0320632,0.0129514,0.198076,0.0471524,-0.019888
27.165,1.0346,0.0378588,-0.0109432,0.467699,-0.0319337,0.0129463,0.198545,0.0469537,-0.0198707
27.175,1.03497,0.037749,-0.0109808,0.467381,-0.0318043,0.0129411,0.199013,0.0467552,-0.0198533
27.185,1.03535,0.0376388,-0.0110181,0.467064,-0.0316749,0.0129357,0.199478,0.0465568,-0.0198357
27.195,1.03572,0.0375283,-0.0110552,0.466749,-0.0315456,0.0129302,0.199942,0.0463586,-0.0198179
27.205,1.0361,0.0374174,-0.0110921,0.466435,-0.0314164,0.0129246,0.200403,0.0461606,-0.0197999
27.215,1.03647,0.0373061,-0.0111287,0.466122,-0.0312872,0.0129188,0.200863,0.0459628,-0.0197817
27.225,1.03684,0.0371944,-0.0111651,0.46581,-0.0311581,0.0129128,0.201321,0.0457652,-0.0197634
27.235,1.03721,0.0370824,-0.0112013,0.4655,-0.031029,0.0129067,0.201776,0.0455677,-0.0197449
27.245,1.03758,0.03697,-0.0112372,0.465191,-0.0309,0.0129005,0.20223,0.0453705,-0.0197262
27.255,1.03795,0.0368573,-0.0112729,0.464883,-0.0307711,0.0128941,0.202682,0.0451734,-0.0197073
27.265,1.03832,0.0367442,-0.0113084,0.464577,-0.0306422,0.0128875,0.203132,0.0449765,-0.0196883
27.275,1.03869,0.0366308,-0.0113436,0.464271,-0.0305134,0.0128808,0.203579,0.0447798,-0.019669
27.285,1.03905,0.036517,-0.0113786,0.463968,-0.0303846,0.012874,0.204025,0.0445833,-0.0196496
27.295,1.03942,0.0364029,-0.0114133,0.463665,-0.030256,0.012867,0.204469,0.044387,-0.0196301
27.305,1.03978,0.0362884,-0.0114478,0.463364,-0.0301274,0.0128599,0.204911,0.0441909,-0.0196103
27.315,1.04014,0.0361736,-0.011482,0.463064,-0.0299988,0.0128526,0.205351,0.043995,-0.0195904
27.325,1.0405,0.0360584,-0.011516,0.462765,-0.0298704,0.0128452,0.205789,0.0437993,-0.0195704
27.335,1.04086,0.0359429,-0.0115498,0.462468,-0.029742,0.0128376,0.206225,0.0436038,-0.0195501
27.345,1.04122,0.0358271,-0.0115833,0.462172,-0.0296137,0.0128299,0.206659,0.0434085,-0.0195297
27.355,1.04158,0.0357109,-0.0116165,0.461877,-0.0294855,0.0128221,0.207091,0.0432134,-0.0195091
27.365,1.04193,0.0355944,-0.0116495,0.461583,-0.0293573,0.0128141,0.207521,0.0430185,-0.0194884
27.375,1.04229,0.0354776,-0.0116822,0.461291,-0.0292293,0.012806,0.20795,0.0428239,-0.0194674
27.385,1.04264,0.0353605,-0.0117147,0.461,-0.0291013,0.0127977,0.208376,0.0426294,-0.0194464
27.395,1.04299,0.035243,-0.0117469,0.46071,-0.0289734,0.0127893,0.2088,0.0424351,-0.0194251
27.405,1.04334,0.0351252,-0.0117788,0.460422,-0.0288456,0.0127807,0.209223,0.0422411,-0.0194037
27.415,1.04369,0.0350071,-0.0118105,0.460134,-0.0287179,0.012772,0.209643,0.0420473,-0.0193821
27.425,1.04404,0.0348887,-0.0118419,0.459849,-0.0285903,0.0127632,0.210062,0.0418537,-0.0193604
27.435,1.04439,0.0347699,-0.0118731,0.459564,-0.0284627,0.0127542,0.210478,0.0416603,-0.0193384
27.445,1.04474,0.0346509,-0.011904,0.459281,-0.0283353,0.0127451,0.210893,0.0414671,-0.0193164
27.455,1.04508,0.0345316,-0.0119346,0.458999,-0.0282079,0.0127358,0.211306,0.0412742,-0.0192941
27.465,1.04543,0.0344119,-0.011965,0.458718,-0.0280806,0.0127264,0.211717,0.0410815,-0.0192717
27.475,1.04577,0.034292,-0.0119951,0.458438,-0.0279535,0.0127169,0.212125,0.040889,-0.0192492
27.485,1.04611,0.0341717,-0.0120249,0.45816,-0.0278264,0.0127072,0.212532,0.0406967,-0.0192264
27.495,1.04645,0.0340512,-0.0120544,0.457883,-0.0276994,0.0126974,0.212937,0.0405047,-0.0192035
27.505,1.04679,0.0339303,-0.0120837,0.457607,-0.0275725,0.0126874,0.213341,0.0403129,-0.0191805
27.515,1.04713,0.0338092,-0.0121127,0.457333,-0.0274458,0.0126773,0.213742,0.0401213,-0.0191573
27.525,1.04747,0.0336878,-0.0121414,0.45706,-0.0273191,0.0126671,0.214141,0.03993,-0.0191339
27.535,1.0478,0.0335661,-0.0121698,0.456788,-0.0271925,0.0126567,0.214538,0.0397389,-0.0191104
27.545,1.04814,0.0334441,-0.012198,0.456517,-0.0270661,0.0126462,0.214934,0.039548,-0.0190867
27.555,1.04847,0.0333218,-0.0122259,0.456248,-0.0269397,0.0126355,0.215328,0.0393574,-0.0190629
27.565,1.0488,0.0331993,-0.0122535,0.455979,-0.0268135,0.0126248,0.215719,0.039167,-0.0190389
27.575,1.04913,0.0330765,-0.0122808,0.455713,-0.0266873,0.0126138,0.216109,0.0389768,-0.0190147
27.585,1.04946,0.0329534,-0.0123078,0.455447,-0.0265613,0.0126028,0.216497,0.0387869,-0.0189904
27.595,1.04979,0.0328301,-0.0123345,0.455183,-0.0264354,0.0125916,0.216883,0.0385973,-0.018966
27.605,1.05012,0.0327065,-0.012361,0.454919,-0.0263096,0.0125802,0.217267,0.0384079,-0.0189413
27.615,1.05044,0.0325826,-0.0123871,0.454658,-0.0261839,0.0125688,0.217649,0.0382187,-0.0189166
27.625,1.05077,0.0324585,-0.012413,0.454397,-0.0260583,0.0125572,0.218029,0.0380298,-0.0188916
27.635,1.05109,0.0323341,-0.0124386,0.454138,-0.0259329,0.0125454,0.218408,0.0378411,-0.0188666
27.645,1.05141,0.0322094,-0.0124639,0.45388,-0.0258075,0.0125335,0.218784,0.0376527,-0.0188413
27.655,1.05173,0.0320846,-0.0124888,0.453623,-0.0256823,0.0125215,0.219159,0.0374645,-0.0188159
27.665,1.05205,0.0319594,-0.0125135,0.453367,-0.0255572,0.0125094,0.219532,0.0372766,-0.0187904
27.675,1.05237,0.031834,-0.0125379,0.453113,-0.0254323,0.0124971,0.219903,0.037089,-0.0187647
27.685,1.05269,0.0317084,-0.012562,0.45286,-0.0253074,0.0124847,0.220272,0.0369016,-0.0187389
27.695,1.053,0.0315826,-0.0125858,0.452608,-0.0251827,0.0124721,0.220639,0.0367145,-0.0187129
27.705,1.05332,0.0314565,-0.0126093,0.452357,-0.0250581,0.0124594,0.221004,0.0365276,-0.0186867
27.715,1.05363,0.0313301,-0.0126325,0.452108,-0.0249336,0.0124466,0.221367,0.036341,-0.0186604
27.725,1.05394,0.0312036,-0.0126553,0.45186,-0.0248093,0.0124336,0.221729,0.0361547,-0.018634
27.735,1.05426,0.0310768,-0.0126779,0.451613,-0.0246851,0.0124205,0.222089,0.0359686,-0.0186074
27.745,1.05456,0.0309498,-0.0127002,0.451368,-0.024561,0.0124073,0.222447,0.0357828,-0.0185806
27.755,1.05487,0.0308226,-0.0127221,0.451123,-0.0244371,0.012394,0.222802,0.0355972,-0.0185537
27.765,1.05518,0.0306952,-0.0127438,0.45088,-0.0243133,0.0123805,0.223157,0.035412,-0.0185267
27.775,1.05549,0.0305675,-0.0127651,0.450638,-0.0241896,0.0123669,0.223509,0.035227,-0.0184995
27.785,1.05579,0.0304396,-0.0127861,0.450397,-0.0240661,0.0123531,0.223859,0.0350423,-0.0184721
27.795,1.05609,0.0303116,-0.0128068,0.450158,-0.0239427,0.0123392,0.224208,0.0348578,-0.0184446
27.805,1.0564,0.0301833,-0.0128272,0.44992,-0.0238194,0.0123252,0.224555,0.0346736,-0.018417
27.815,1.0567,0.0300548,-0.0128473,0.449683,-0.0236963,0.012311,0.224899,0.0344897,-0.0183892
27.825,1.05699,0.0299262,-0.0128671,0.449447,-0.0235734,0.0122968,0.225243,0.0343061,-0.0183613
27.835,1.05729,0.0297973,-0.0128865,0.449213,-0.0234505,0.0122823,0.225584,0.0341228,-0.0183332
27.845,1.05759,0.0296682,-0.0129056,0.448979,-0.0233279,0.0122678,0.225923,0.0339398,-0.0183049
27.855,1.05788,0.029539,-0.0129244,0.448747,-0.0232053,0.0122531,0.226261,0.033757,-0.0182766
27.865,1.05818,0.0294096,-0.0129429,0.448517,-0.0230829,0.0122383,0.226597,0.0335745,-0.018248
27.875,1.05847,0.02928,-0.0129611,0.448287,-0.0229607,0.0122234,0.22693,0.0333923,-0.0182194
27.885,1.05876,0.0291502,-0.0129789,0.448059,-0.0228386,0.0122083,0.227263,0.0332104,-0.0181906
27.895,1.05905,0.0290202,-0.0129964,0.447831,-0.0227167,0.0121931,0.227593,0.0330288,-0.0181616
27.905,1.05934,0.0288901,-0.0130136,0.447605,-0.0225949,0.0121777,0.227921,0.0328475,-0.0181325
27.915,1.05963,0.0287598,-0.0130304,0.447381,-0.0224733,0.0121623,0.228248,0.0326664,-0.0181032
27.925,1.05992,0.0286293,-0.0130469,0.447157,-0.0223518,0.0121467,0.228573,0.0324857,-0.0180738
27.935,1.0602,0.0284987,-0.0130631,0.446935,-0.0222305,0.0121309,0.228896,0.0323053,-0.0180443
27.945,1.06048,0.0283679,-0.013079,0.446714,-0.0221094,0.0121151,0.229217,0.0321251,-0.0180146
27.955,1.06077,0.0282369,-0.0130945,0.446494,-0.0219884,0.0120991,0.229537,0.0319453,-0.0179848
27.965,1.06105,0.0281058,-0.0131097,0.446275,-0.0218675,0.012083,0.229854,0.0317657,-0.0179548
27.975,1.06133,0.0279746,-0.0131245,0.446058,-0.0217469,0.0120667,0.23017,0.0315865,-0.0179247
27.985,1.06161,0.0278432,-0.013139,0.445841,-0.0216264,0.0120503,0.230484,0.0314075,-0.0178944
27.995,1.06188,0.0277117,-0.0131532,0.445626,-0.021506,0.0120338,0.230796,0.0312289,-0.017864
28.005,1.06216,0.02758,-0.013167,0.445413,-0.0213859,0.0120172,0.231107,0.0310505,-0.0178334
28.015,1.06243,0.0274482,-0.0131805,0.4452,-0.0212659,0.0120004,0.231416,0.0308725,-0.0178027
28.025,1.06271,0.0273162,-0.0131937,0.444988,-0.021146,0.0119835,0.231723,0.0306948,-0.0177719
28.035,1.06298,0.0271842,-0.0132065,0.444778,-0.0210264,0.0119665,0.232028,0.0305174,-0.0177409
28.045,1.06325,0.027052,-0.0132189,0.444569,-0.0209069,0.0119493,0.232331,0.0303403,-0.0177098
28.055,1.06352,0.0269197,-0.013231,0.444361,-0.0207875,0.011932,0.232633,0.0301635,-0.0176785
28.065,1.06379,0.0267873,-0.0132428,0.444155,-0.0206684,0.0119146,0.232933,0.029987,-0.0176471
28.075,1.06405,0.0266547,-0.0132542,0.443949,-0.0205494,0.011897,0.233231,0.0298109,-0.0176155
28.085,1.06432,0.0265221,-0.0132653,0.443745,-0.0204306,0.0118793,0.233527,0.029635,-0.0175838
28.095,1.06458,0.0263893,-0.013276,0.443542,-0.020312,0.0118615,0.233822,0.0294595,-0.017552
28.105,1.06484,0.0262564,-0.0132864,0.44334,-0.0201936,0.0118436,0.234115,0.0292843,-0.01752
28.115,1.06511,0.0261235,-0.0132964,0.443139,-0.0200753,0.0118255,0.234406,0.0291094,-0.0174878
28.125,1.06537,0.0259904,-0.0133061,0.442939,-0.0199573,0.0118073,0.234695,0.0289349,-0.0174555
28.135,1.06562,0.0258573,-0.0133154,0.442741,-0.0198394,0.011789,0.234983,0.0287607,-0.0174231
28.145,1.06588,0.025724,-0.0133244,0.442544,-0.0197217,0.0117705,0.235269,0.0285868,-0.0173905
28.155,1.06614,0.0255907,-0.013333,0.442348,-0.0196041,0.0117519,0.235553,0.0284132,-0.0173578
28.165,1.06639,0.0254573,-0.0133412,0.442153,-0.0194868,0.0117332,0.235835,0.0282399,-0.017325
28.175,1.06665,0.0253238,-0.0133491,0.441959,-0.0193697,0.0117143,0.236116,0.028067,-0.017292
28.185,1.0669,0.0251902,-0.0133566,0.441767,-0.0192527,0.0116953,0.236395,0.0278944,-0.0172588
28.195,1.06715,0.0250566,-0.0133638,0.441575,-0.019136,0.0116762,0.236672,0.0277222,-0.0172255
28.205,1.0674,0.0249229,-0.0133706,0.441385,-0.0190194,0.011657,0.236947,0.0275502,-0.0171921
28.215,1.06765,0.0247891,-0.013377,0.441196,-0.018903,0.0116376,0.237221,0.0273787,-0.0171585
28.225,1.06789,0.0246553,-0.0133831,0.441008,-0.0187868,0.0116181,0.237493,0.0272074,-0.0171247
28.235,1.06814,0.0245214,-0.0133888,0.440821,-0.0186708,0.0115984,0.237764,0.0270365,-0.0170909
28.245,1.06838,0.0243874,-0.0133942,0.440636,-0.0185551,0.0115786,0.238032,0.0268659,-0.0170568
28.255,1.06862,0.0242535,-0.0133991,0.440452,-0.0184395,0.0115587,0.238299,0.0266957,-0.0170227
28.265,1.06886,0.0241194,-0.0134037,0.440268,-0.0183241,0.0115387,0.238564,0.0265258,-0.0169884
28.275,1.0691,0.0239853,-0.013408,0.440086,-0.0182089,0.0115185,0.238828,0.0263563,-0.0169539
28.285,1.06934,0.0238512,-0.0134119,0.439905,-0.0180939,0.0114982,0.23909,0.0261871,-0.0169193
28.295,1.06958,0.0237171,-0.0134154,0.439725,-0.0179791,0.0114778,0.23935,0.0260182,-0.0168845
28.305,1.06982,0.0235829,-0.0134185,0.439547,-0.0178646,0.0114573,0.239609,0.0258497,-0.0168496
28.315,1.07005,0.0234487,-0.0134212,0.439369,-0.0177502,0.0114366,0.239865,0.0256816,-0.0168146
28.325,1.07028,0.0233144,-0.0134236,0.439193,-0.017636,0.0114157,0.240121,0.0255138,-0.0167794
28.335,1.07052,0.0231802,-0.0134256,0.439018,-0.0175221,0.0113948,0.240374,0.0253464,-0.016744
28.345,1.07075,0.0230459,-0.0134273,0.438844,-0.0174084,0.0113737,0.240626,0.0251793,-0.0167085
28.355,1.07097,0.0229116,-0.0134285,0.438671,-0.0172948,0.0113525,0.240876,0.0250126,-0.0166729
28.365,1.0712,0.0227773,-0.0134294,0.438499,-0.0171815,0.0113311,0.241124,0.0248462,-0.0166371
28.375,1.07143,0.022643,-0.0134299,0.438328,-0.0170684,0.0113096,0.241371,0.0246802,-0.0166012
28.385,1.07165,0.0225087,-0.01343,0.438159,-0.0169555,0.011288,0.241616,0.0245145,-0.0165651
28.395,1.07188,0.0223744,-0.0134297,0.43799,-0.0168429,0.0112663,0.24186,0.0243492,-0.0165288
28.405,1.0721,0.0222401,-0.0134291,0.437823,-0.0167304,0.0112444,0.242102,0.0241843,-0.0164925
28.415,1.07232,0.0221059,-0.0134281,0.437657,-0.0166182,0.0112224,0.242342,0.0240197,-0.0164559
28.425,1.07254,0.0219716,-0.0134267,0.437492,-0.0165062,0.0112002,0.24258,0.0238556,-0.0164192
28.435,1.07276,0.0218373,-0.0134249,0.437328,-0.0163944,0.0111779,0.242817,0.0236917,-0.0163824
28.445,1.07298,0.0217031,-0.0134227,0.437165,-0.0162829,0.0111555,0.243053,0.0235283,-0.0163454
28.455,1.07319,0.0215689,-0.0134201,0.437003,-0.0161715,0.0111329,0.243286,0.0233652,-0.0163082
28.465,1.07341,0.0214347,-0.0134172,0.436843,-0.0160604,0.0111102,0.243518,0.0232025,-0.0162709
28.475,1.07362,0.0213006,-0.0134138,0.436683,-0.0159496,0.0110874,0.243749,0.0230402,-0.0162335
