t,q_j1,qd_j1,qdd_j1,q_j2,qd_j2,qdd_j2,q_j3,qd_j3,qdd_j3
0.44,0.0085212,0.054639,0.217663,0.00234232,0.0150192,0.0598315,-0.00257135,-0.0164878,-0.0656818
0.45,0.00907852,0.0568302,0.220562,0.00249552,0.0156216,0.0606283,-0.00273952,-0.017149,-0.0665565
0.46,0.0096579,0.05905,0.223378,0.00265478,0.0162317,0.0614023,-0.00291436,-0.0178189,-0.0674062
0.47,0.0102596,0.0612975,0.226111,0.00282018,0.0168495,0.0621537,-0.00309593,-0.0184971,-0.068231
0.48,0.0108839,0.063572,0.228763,0.00299179,0.0174747,0.0628826,-0.00328433,-0.0191834,-0.0690312
0.49,0.0115311,0.0658725,0.231333,0.00316969,0.0181071,0.0635892,-0.00347962,-0.0198776,-0.0698069
0.5,0.0122015,0.0681983,0.233823,0.00335396,0.0187464,0.0642735,-0.0036819,-0.0205795,-0.0705582
0.51,0.0128952,0.0705487,0.236232,0.00354465,0.0193925,0.0649359,-0.00389124,-0.0212887,-0.0712853
0.52,0.0136125,0.0729227,0.238562,0.00374183,0.0200451,0.0655763,-0.0041077,-0.0220051,-0.0719883
0.53,0.0143537,0.0753197,0.240813,0.00394557,0.020704,0.0661951,-0.00433136,-0.0227284,-0.0726676
0.54,0.015119,0.0777387,0.242986,0.00415593,0.0213689,0.0667922,-0.00456229,-0.0234584,-0.0733231
0.55,0.0159086,0.0801791,0.24508,0.00437297,0.0220397,0.0673678,-0.00480055,-0.0241948,-0.073955
0.56,0.0167226,0.0826401,0.247097,0.00459674,0.0227162,0.0679222,-0.00504621,-0.0249374,-0.0745636
0.57,0.0175614,0.0851208,0.249036,0.00482731,0.0233981,0.0684554,-0.00529932,-0.025686,-0.075149
0.58,0.0184251,0.0876205,0.2509,0.00506472,0.0240852,0.0689676,-0.00555995,-0.0264403,-0.0757112
0.59,0.0193139,0.0901385,0.252687,0.00530903,0.0247774,0.069459,-0.00582814,-0.0272001,-0.0762506
0.6,0.020228,0.092674,0.254399,0.00556029,0.0254744,0.0699296,-0.00610397,-0.0279652,-0.0767673
0.61,0.0211674,0.0952263,0.256037,0.00581853,0.0261759,0.0703797,-0.00638746,-0.0287354,-0.0772613
0.62,0.0221325,0.0977945,0.2576,0.00608382,0.0268819,0.0708093,-0.00667869,-0.0295104,-0.077733
0.63,0.0231234,0.100378,0.259089,0.00635618,0.027592,0.0712187,-0.00697769,-0.03029,-0.0781824
0.64,0.0241401,0.102976,0.260505,0.00663567,0.0283062,0.0716079,-0.0072845,-0.0310739,-0.0786097
0.65,0.0251829,0.105588,0.261848,0.00692232,0.0290241,0.0719772,-0.00759918,-0.0318621,-0.0790151
0.66,0.0262519,0.108213,0.263119,0.00721617,0.0297457,0.0723266,-0.00792176,-0.0326542,-0.0793986
0.67,0.0273472,0.11085,0.264319,0.00751725,0.0304706,0.0726563,-0.00825228,-0.03345,-0.0797606
0.68,0.028469,0.113499,0.265448,0.00782559,0.0311987,0.0729665,-0.00859077,-0.0342493,-0.0801012
0.69,0.0296173,0.116159,0.266505,0.00814123,0.0319299,0.0732574,-0.00893727,-0.0350519,-0.0804204
0.7,0.0307922,0.118829,0.267493,0.0084642,0.0326638,0.0735289,-0.00929182,-0.0358577,-0.0807185
0.71,0.0319939,0.121508,0.268412,0.00879451,0.0334004,0.0737814,-0.00965444,-0.0366662,-0.0809957
0.72,0.0332224,0.124197,0.269261,0.00913221,0.0341394,0.0740149,-0.0100252,-0.0374775,-0.081252
0.73,0.0344778,0.126893,0.270042,0.00947731,0.0348806,0.0742296,-0.010404,-0.0382912,-0.0814877
0.74,0.0357603,0.129597,0.270756,0.00982983,0.0356239,0.0744257,-0.010791,-0.0391072,-0.081703
0.75,0.0370698,0.132308,0.271402,0.0101898,0.0363691,0.0746032,-0.0111861,-0.0399252,-0.0818979
0.76,0.0384065,0.135025,0.271981,0.0105572,0.0371159,0.0747624,-0.0115895,-0.0407451,-0.0820726
0.77,0.0397703,0.137748,0.272493,0.0109321,0.0378643,0.0749033,-0.0120011,-0.0415666,-0.0822273
0.78,0.0411614,0.140475,0.272941,0.0113145,0.0386139,0.0750262,-0.0124208,-0.0423896,-0.0823623
0.79,0.0425798,0.143206,0.273322,0.0117044,0.0393647,0.0751312,-0.0128488,-0.0432138,-0.0824775
0.8,0.0440256,0.145941,0.27364,0.0121018,0.0401165,0.0752184,-0.0132851,-0.044039,-0.0825732
0.81,0.0454987,0.148679,0.273893,0.0125067,0.040869,0.075288,-0.0137296,-0.0448652,-0.0826496
0.82,0.0469992,0.151419,0.274082,0.0129192,0.0416222,0.07534,-0.0141824,-0.045692,-0.0827067
0.83,0.048527,0.15416,0.274209,0.0133392,0.0423758,0.0753748,-0.0146435,-0.0465192,-0.0827449
0.84,0.0500824,0.156903,0.274272,0.0137667,0.0431296,0.0753923,-0.0151128,-0.0473468,-0.0827642
0.85,0.0516651,0.159646,0.274274,0.0142018,0.0438836,0.0753929,-0.0155904,-0.0481745,-0.0827647
0.86,0.0532753,0.162388,0.274215,0.0146444,0.0446374,0.0753765,-0.0160763,-0.049002,-0.0827467
0.87,0.0549129,0.16513,0.274094,0.0150945,0.045391,0.0753433,-0.0165704,-0.0498293,-0.0827104
0.88,0.0565779,0.16787,0.273913,0.0155522,0.0461442,0.0752936,-0.0170729,-0.0506562,-0.0826558
0.89,0.0582702,0.170608,0.273672,0.0160174,0.0468969,0.0752274,-0.0175836,-0.0514824,-0.0825831
0.9,0.05999,0.173343,0.273372,0.0164901,0.0476487,0.0751449,-0.0181025,-0.0523078,-0.0824926
0.91,0.0617371,0.176075,0.273013,0.0169704,0.0483997,0.0750463,-0.0186297,-0.0531322,-0.0823843
0.92,0.0635115,0.178803,0.272596,0.0174581,0.0491496,0.0749316,-0.0191652,-0.0539554,-0.0822584
0.93,0.0653131,0.181527,0.272121,0.0179534,0.0498983,0.0748011,-0.0197088,-0.0547773,-0.0821151
0.94,0.067142,0.184245,0.271589,0.0184561,0.0506456,0.0746548,-0.0202607,-0.0555977,-0.0819545
0.95,0.068998,0.186958,0.271001,0.0189663,0.0513913,0.074493,-0.0208208,-0.0564163,-0.0817769
0.96,0.0708812,0.189665,0.270356,0.0194839,0.0521354,0.0743158,-0.021389,-0.0572331,-0.0815823
0.97,0.0727913,0.192365,0.269656,0.020009,0.0528776,0.0741233,-0.0219654,-0.0580479,-0.081371
0.98,0.0747284,0.195058,0.2689,0.0205414,0.0536178,0.0739156,-0.02255,-0.0588605,-0.081143
0.99,0.0766924,0.197743,0.26809,0.0210813,0.0543558,0.073693,-0.0231426,-0.0596707,-0.0808986
1,0.0786833,0.20042,0.267226,0.0216286,0.0550916,0.0734555,-0.0237434,-0.0604784,-0.0806379
1.01,0.0807008,0.203087,0.266309,0.0221831,0.0558249,0.0732033,-0.0243522,-0.0612834,-0.0803611
1.02,0.082745,0.205746,0.265338,0.022745,0.0565556,0.0729366,-0.024969,-0.0620856,-0.0800683
1.03,0.0848157,0.208394,0.264316,0.0233142,0.0572836,0.0726555,-0.0255939,-0.0628847,-0.0797597
1.04,0.0869128,0.211032,0.263241,0.0238907,0.0580087,0.0723601,-0.0262267,-0.0636807,-0.0794354
1.05,0.0890363,0.213659,0.262115,0.0244744,0.0587307,0.0720506,-0.0268675,-0.0644734,-0.0790957
1.06,0.091186,0.216274,0.260939,0.0250653,0.0594496,0.0717272,-0.0275162,-0.0652626,-0.0787406
1.07,0.0933617,0.218877,0.259712,0.0256634,0.0601652,0.07139,-0.0281727,-0.0660482,-0.0783704
1.08,0.0955635,0.221468,0.258435,0.0262686,0.0608774,0.0710391,-0.0288371,-0.0668299,-0.0779852
1.09,0.097791,0.224046,0.25711,0.0268809,0.061586,0.0706747,-0.0295093,-0.0676078,-0.0775852
1.1,0.100044,0.22661,0.255735,0.0275003,0.0622908,0.0702969,-0.0301893,-0.0683816,-0.0771705
1.11,0.102323,0.22916,0.254313,0.0281267,0.0629919,0.0699059,-0.0308769,-0.0691512,-0.0767412
1.12,0.104627,0.231696,0.252843,0.0287601,0.0636889,0.0695018,-0.0315723,-0.0699164,-0.0762976
1.13,0.106957,0.234217,0.251326,0.0294005,0.0643819,0.0690848,-0.0322753,-0.0706771,-0.0758399
1.14,0.109312,0.236722,0.249762,0.0300478,0.0650706,0.068655,-0.0329858,-0.0714331,-0.075368
1.15,0.111691,0.239212,0.248153,0.0307019,0.0657549,0.0682126,-0.0337039,-0.0721844,-0.0748824
1.16,0.114096,0.241685,0.246498,0.0313628,0.0664348,0.0677577,-0.0344295,-0.0729307,-0.074383
1.17,0.116525,0.244142,0.244798,0.0320306,0.06711,0.0672904,-0.0351625,-0.073672,-0.07387
1.18,0.118979,0.246581,0.243054,0.032705,0.0677806,0.066811,-0.0359029,-0.0744081,-0.0733437
1.19,0.121457,0.249003,0.241266,0.0333862,0.0684462,0.0663195,-0.0366506,-0.0751388,-0.0728042
1.2,0.123959,0.251406,0.239435,0.0340739,0.0691069,0.0658161,-0.0374057,-0.0758641,-0.0722516
1.21,0.126485,0.253791,0.237561,0.0347683,0.0697625,0.065301,-0.0381679,-0.0765838,-0.071686
1.22,0.129035,0.256157,0.235644,0.0354692,0.0704129,0.0647742,-0.0389373,-0.0772978,-0.0711078
1.23,0.131608,0.258504,0.233686,0.0361765,0.0710579,0.064236,-0.0397138,-0.0780059,-0.0705169
1.24,0.134205,0.260831,0.231687,0.0368903,0.0716976,0.0636865,-0.0404974,-0.0787081,-0.0699137
1.25,0.136824,0.263138,0.229647,0.0376105,0.0723316,0.0631258,-0.041288,-0.0794042,-0.0692982
1.26,0.139467,0.265424,0.227568,0.0383369,0.07296,0.0625541,-0.0420855,-0.080094,-0.0686706
1.27,0.142133,0.267689,0.225448,0.0390696,0.0735827,0.0619715,-0.0428898,-0.0807775,-0.068031
1.28,0.144821,0.269933,0.22329,0.0398086,0.0741994,0.0613782,-0.043701,-0.0814546,-0.0673797
1.29,0.147531,0.272155,0.221093,0.0405536,0.0748102,0.0607743,-0.0445189,-0.0821251,-0.0667168
1.3,0.150264,0.274354,0.218858,0.0413047,0.0754149,0.06016,-0.0453435,-0.0827889,-0.0660424
1.31,0.153018,0.276532,0.216586,0.0420619,0.0760134,0.0595354,-0.0461747,-0.0834459,-0.0653568
1.32,0.155794,0.278686,0.214277,0.042825,0.0766056,0.0589007,-0.0470124,-0.084096,-0.06466
1.33,0.158592,0.280817,0.211931,0.043594,0.0771914,0.058256,-0.0478566,-0.0847391,-0.0639522
1.34,0.161411,0.282925,0.20955,0.0443688,0.0777707,0.0576014,-0.0487071,-0.085375,-0.0632337
1.35,0.16425,0.285008,0.207134,0.0451494,0.0783434,0.0569372,-0.049564,-0.0860037,-0.0625044
1.36,0.167111,0.287067,0.204682,0.0459356,0.0789094,0.0562634,-0.0504272,-0.0866251,-0.0617648
1.37,0.169992,0.289102,0.202197,0.0467275,0.0794686,0.0555802,-0.0512965,-0.087239,-0.0610147
1.38,0.172893,0.291111,0.199678,0.047525,0.0800209,0.0548877,-0.0521719,-0.0878453,-0.0602546
1.39,0.175814,0.293095,0.197126,0.0483279,0.0805663,0.0541861,-0.0530534,-0.088444,-0.0594844
1.4,0.178755,0.295053,0.194541,0.0491363,0.0811046,0.0534756,-0.0539408,-0.089035,-0.0587044
1.41,0.181715,0.296986,0.191924,0.04995,0.0816358,0.0527562,-0.0548341,-0.0896181,-0.0579147
1.42,0.184694,0.298892,0.189275,0.050769,0.0821597,0.0520282,-0.0557331,-0.0901932,-0.0571155
1.43,0.187693,0.300771,0.186596,0.0515932,0.0826763,0.0512917,-0.0566379,-0.0907604,-0.0563069
1.44,0.19071,0.302624,0.183886,0.0524225,0.0831855,0.0505468,-0.0575483,-0.0913194,-0.0554892
1.45,0.193745,0.304449,0.181146,0.0532569,0.0836872,0.0497936,-0.0584643,-0.0918701,-0.0546624
1.46,0.196798,0.306246,0.178377,0.0540962,0.0841814,0.0490324,-0.0593857,-0.0924126,-0.0538268
1.47,0.19987,0.308016,0.175579,0.0549405,0.0846679,0.0482633,-0.0603125,-0.0929466,-0.0529824
1.48,0.202959,0.309758,0.172752,0.0557895,0.0851466,0.0474863,-0.0612446,-0.0934722,-0.0521295
1.49,0.206065,0.311471,0.169898,0.0566434,0.0856176,0.0467017,-0.0621819,-0.0939892,-0.0512682
1.5,0.209188,0.313156,0.167016,0.0575019,0.0860806,0.0459097,-0.0631243,-0.0944975,-0.0503987
1.51,0.212328,0.314811,0.164108,0.0583649,0.0865357,0.0451103,-0.0640718,-0.0949971,-0.0495211
1.52,0.215484,0.316438,0.161174,0.0592325,0.0869828,0.0443036,-0.0650243,-0.0954879,-0.0486356
1.53,0.218657,0.318035,0.158214,0.0601046,0.0874218,0.04349,-0.0659816,-0.0959698,-0.0477424
1.54,0.221845,0.319602,0.155228,0.060981,0.0878526,0.0426694,-0.0669436,-0.0964427,-0.0468416
1.55,0.225048,0.321139,0.152219,0.0618616,0.0882751,0.0418421,-0.0679104,-0.0969066,-0.0459334
1.56,0.228267,0.322646,0.149185,0.0627464,0.0886894,0.0410081,-0.0688817,-0.0973614,-0.0450179
1.57,0.231501,0.324123,0.146128,0.0636354,0.0890953,0.0401677,-0.0698576,-0.097807,-0.0440953
1.58,0.23475,0.325569,0.143047,0.0645283,0.0894927,0.039321,-0.0708378,-0.0982433,-0.0431658
1.59,0.238013,0.326984,0.139944,0.0654252,0.0898817,0.0384681,-0.0718224,-0.0986703,-0.0422295
1.6,0.241289,0.328368,0.13682,0.0663259,0.0902621,0.0376092,-0.0728112,-0.0990878,-0.0412866
1.61,0.24458,0.32972,0.133674,0.0672304,0.0906339,0.0367444,-0.0738041,-0.099496,-0.0403373
1.62,0.247884,0.331041,0.130507,0.0681386,0.0909969,0.0358739,-0.0748011,-0.0998946,-0.0393816
1.63,0.2512,0.33233,0.12732,0.0690503,0.0913513,0.0349978,-0.075802,-0.100284,-0.0384198
1.64,0.25453,0.333587,0.124113,0.0699656,0.0916969,0.0341162,-0.0768067,-0.100663,-0.0374521
1.65,0.257872,0.334812,0.120886,0.0708842,0.0920336,0.0332294,-0.0778152,-0.101033,-0.0364786
1.66,0.261226,0.336005,0.117642,0.0718062,0.0923615,0.0323374,-0.0788274,-0.101392,-0.0354994
1.67,0.264592,0.337165,0.114378,0.0727314,0.0926804,0.0314405,-0.079843,-0.101743,-0.0345147
1.68,0.267969,0.338292,0.111098,0.0736598,0.0929903,0.0305387,-0.0808622,-0.102083,-0.0335247
1.69,0.271358,0.339387,0.1078,0.0745912,0.0932911,0.0296322,-0.0818847,-0.102413,-0.0325296
1.7,0.274757,0.340448,0.104485,0.0755256,0.0935829,0.0287211,-0.0829104,-0.102733,-0.0315294
1.71,0.278167,0.341477,0.101155,0.0764628,0.0938655,0.0278056,-0.0839393,-0.103044,-0.0305244
1.72,0.281586,0.342471,0.0978091,0.0774029,0.094139,0.0268859,-0.0849712,-0.103344,-0.0295148
1.73,0.285016,0.343433,0.0944482,0.0783456,0.0944032,0.025962,-0.0860061,-0.103634,-0.0285006
1.74,0.288455,0.34436,0.0910728,0.0792909,0.0946582,0.0250342,-0.0870439,-0.103914,-0.027482
1.75,0.291903,0.345254,0.0876836,0.0802387,0.0949039,0.0241026,-0.0880844,-0.104184,-0.0264593
1.76,0.29536,0.346114,0.084281,0.0811889,0.0951402,0.0231673,-0.0891275,-0.104443,-0.0254325
1.77,0.298825,0.34694,0.0808656,0.0821415,0.0953672,0.0222284,-0.0901732,-0.104692,-0.0244019
1.78,0.302299,0.347731,0.0774379,0.0830962,0.0955848,0.0212862,-0.0912213,-0.104931,-0.0233676
1.79,0.30578,0.348488,0.0739984,0.0840531,0.0957929,0.0203408,-0.0922718,-0.10516,-0.0223297
1.8,0.309268,0.349211,0.0705477,0.0850121,0.0959916,0.0193922,-0.0933245,-0.105378,-0.0212884
1.81,0.312764,0.349899,0.0670863,0.0859729,0.0961808,0.0184408,-0.0943793,-0.105585,-0.0202439
1.82,0.316266,0.350553,0.0636148,0.0869357,0.0963604,0.0174865,-0.0954362,-0.105782,-0.0191963
1.83,0.319775,0.351172,0.0601336,0.0879001,0.0965305,0.0165296,-0.0964949,-0.105969,-0.0181459
1.84,0.32329,0.351755,0.0566434,0.0888662,0.096691,0.0155702,-0.0975555,-0.106145,-0.0170927
1.85,0.32681,0.352304,0.0531446,0.0898339,0.0968419,0.0146085,-0.0986178,-0.106311,-0.0160369
1.86,0.330335,0.352818,0.0496378,0.090803,0.0969832,0.0136445,-0.0996817,-0.106466,-0.0149786
1.87,0.333866,0.353297,0.0461235,0.0917735,0.0971148,0.0126785,-0.100747,-0.106611,-0.0139182
1.88,0.337401,0.353741,0.0426023,0.0927453,0.0972367,0.0117106,-0.101814,-0.106744,-0.0128556
1.89,0.340941,0.354149,0.0390746,0.0937182,0.097349,0.0107409,-0.102882,-0.106868,-0.0117911
1.9,0.344484,0.354522,0.0355411,0.0946922,0.0974515,0.00976958,-0.103951,-0.10698,-0.0107248
1.91,0.348031,0.35486,0.0320022,0.0956672,0.0975444,0.00879681,-0.105022,-0.107082,-0.00965695
1.92,0.351581,0.355162,0.0284585,0.0966431,0.0976275,0.00782271,-0.106093,-0.107173,-0.00858761
1.93,0.355134,0.355429,0.0249106,0.0976198,0.0977008,0.00684745,-0.107165,-0.107254,-0.00751698
1.94,0.35869,0.355661,0.0213589,0.0985971,0.0977644,0.00587115,-0.108238,-0.107324,-0.00644523
1.95,0.362247,0.355856,0.0178039,0.099575,0.0978182,0.00489397,-0.109311,-0.107383,-0.0053725
1.96,0.365807,0.356017,0.0142464,0.100553,0.0978623,0.00391606,-0.110385,-0.107431,-0.00429897
1.97,0.369368,0.356141,0.0106866,0.101532,0.0978966,0.00293756,-0.11146,-0.107469,-0.00322479
1.98,0.372929,0.35623,0.00712532,0.102511,0.097921,0.00195862,-0.112535,-0.107496,-0.00215013
1.99,0.376492,0.356284,0.00356293,0.103491,0.0979357,0.000979382,-0.11361,-0.107512,-0.00107514
2,0.380055,0.356302,1.11022e-16,0.10447,0.0979406,8.32667e-17,-0.114685,-0.107517,0
2.01,0.383618,0.356284,-0.00356293,0.105449,0.0979357,-0.000979382,-0.11576,-0.107512,0.00107514
2.02,0.387181,0.35623,-0.00712532,0.106429,0.097921,-0.00195862,-0.116835,-0.107496,0.00215013
2.03,0.390742,0.356141,-0.0106866,0.107408,0.0978966,-0.00293756,-0.11791,-0.107469,0.00322479
2.04,0.394303,0.356017,-0.0142464,0.108387,0.0978623,-0.00391606,-0.118985,-0.107431,0.00429897
2.05,0.397863,0.355856,-0.0178039,0.109365,0.0978182,-0.00489397,-0.120059,-0.107383,0.0053725
2.06,0.40142,0.355661,-0.0213589,0.110343,0.0977644,-0.00587115,-0.121132,-0.107324,0.00644523
2.07,0.404976,0.355429,-0.0249106,0.11132,0.0977008,-0.00684745,-0.122205,-0.107254,0.00751698
2.08,0.408529,0.355162,-0.0284585,0.112297,0.0976275,-0.00782271,-0.123277,-0.107173,0.00858761
2.09,0.412079,0.35486,-0.0320022,0.113273,0.0975444,-0.00879681,-0.124348,-0.107082,0.00965695
2.1,0.415626,0.354522,-0.0355411,0.114248,0.0974515,-0.00976958,-0.125419,-0.10698,0.0107248
2.11,0.419169,0.354149,-0.0390746,0.115222,0.097349,-0.0107409,-0.126488,-0.106868,0.0117911
2.12,0.422709,0.353741,-0.0426023,0.116195,0.0972367,-0.0117106,-0.127556,-0.106744,0.0128556
2.13,0.426244,0.353297,-0.0461235,0.117166,0.0971148,-0.0126785,-0.128623,-0.106611,0.0139182
2.14,0.429775,0.352818,-0.0496378,0.118137,0.0969832,-0.0136445,-0.129688,-0.106466,0.0149786
2.15,0.4333,0.352304,-0.0531446,0.119106,0.0968419,-0.0146085,-0.130752,-0.106311,0.0160369
2.16,0.43682,0.351755,-0.0566434,0.120074,0.096691,-0.0155702,-0.131814,-0.106145,0.0170927
2.17,0.440335,0.351172,-0.0601336,0.12104,0.0965305,-0.0165296,-0.132875,-0.105969,0.0181459
2.18,0.443844,0.350553,-0.0636148,0.122004,0.0963604,-0.0174865,-0.133934,-0.105782,0.0191963
2.19,0.447346,0.349899,-0.0670863,0.122967,0.0961808,-0.0184408,-0.134991,-0.105585,0.0202439
2.2,0.450842,0.349211,-0.0705477,0.123928,0.0959916,-0.0193922,-0.136046,-0.105378,0.0212884
2.21,0.45433,0.348488,-0.0739984,0.124887,0.0957929,-0.0203408,-0.137098,-0.10516,0.0223297
2.22,0.457811,0.347731,-0.0774379,0.125844,0.0955848,-0.0212862,-0.138149,-0.104931,0.0233676
2.23,0.461285,0.34694,-0.0808656,0.126799,0.0953672,-0.0222284,-0.139197,-0.104692,0.0244019
2.24,0.46475,0.346114,-0.084281,0.127751,0.0951402,-0.0231673,-0.140242,-0.104443,0.0254325
2.25,0.468207,0.345254,-0.0876836,0.128701,0.0949039,-0.0241026,-0.141286,-0.104184,0.0264593
2.26,0.471655,0.34436,-0.0910728,0.129649,0.0946582,-0.0250342,-0.142326,-0.103914,0.027482
2.27,0.475094,0.343433,-0.0944482,0.130594,0.0944032,-0.025962,-0.143364,-0.103634,0.0285006
2.28,0.478524,0.342471,-0.0978091,0.131537,0.094139,-0.0268859,-0.144399,-0.103344,0.0295148
2.29,0.481943,0.341477,-0.101155,0.132477,0.0938655,-0.0278056,-0.145431,-0.103044,0.0305244
2.3,0.485353,0.340448,-0.104485,0.133414,0.0935829,-0.0287211,-0.14646,-0.102733,0.0315294
2.31,0.488752,0.339387,-0.1078,0.134349,0.0932911,-0.0296322,-0.147485,-0.102413,0.0325296
2.32,0.492141,0.338292,-0.111098,0.13528,0.0929903,-0.0305387,-0.148508,-0.102083,0.0335247
2.33,0.495518,0.337165,-0.114378,0.136209,0.0926804,-0.0314405,-0.149527,-0.101743,0.0345147
2.34,0.498884,0.336005,-0.117642,0.137134,0.0923615,-0.0323374,-0.150543,-0.101392,0.0354994
2.35,0.502238,0.334812,-0.120886,0.138056,0.0920336,-0.0332294,-0.151555,-0.101033,0.0364786
2.36,0.50558,0.333587,-0.124113,0.138974,0.0916969,-0.0341162,-0.152563,-0.100663,0.0374521
