Beh,Train_loss,Test_loss,Train_acc_pct,Test_acc_pct
1,0.0112140579149127,0.03479914,99.6643396596976,98.96
2,0.00162109069060534,0.03465284,99.7750361549037,98.97
3,0.11017582565546,0.0405408,99.5589994465175,98.8
4,0.00855261366814375,0.03466575,99.5625703012016,98.88
5,0.00474474765360355,0.03176888,99.7518255994572,99.12
