Beh,Train_loss,Test_loss,Train_acc_pct,Test_acc_pct
1,0.0183997880667448,0.07195318,99.4697280794158,97.75
2,0.0353320576250553,0.08080452,99.2661893624239,97.47
3,0.0207973942160606,0.0673776,99.6750522237497,97.93
4,0.0377672873437405,0.0725714,99.4643717973897,97.59
5,0.00259041809476912,0.0660332,99.7536110267993,97.91
